"Data";"Instituição";"Numero";"Modalidade";"Objeto";"Data/Hora Realização";"Valor Referência";"Situação";"Aviso";"Anexos";"Vencedores \ Contratos"
"09/07/2013";"PML";"039/2013";"Dispensa";"LOCAÇÃO DE UM IMÓVEL, LOCALIZADO NA AV. PRESIDENTE KENNEDY, 36, CENTRO, LAGARTO/SE.";"";"";"Concluído";"";"";""
"18/12/2013";"FMS";"039/2013";"Pregão Presencial";"Contratação de empresa para o fornecimento de pneus e câmaras de ar para atender a frota dos veículos do Fundo Municipal de Saúde, durante o exercício de 2014, conforme especificações constante no Termo de Referência I.";"";"";"Concluído";"";"";""
"18/12/2013";"FMS";"038/2013";"Pregão Presencial";"Contratação de empresa para o fornecimento parcelado de materiais de consumo médico-hospitalar destinados aos programas e demais serviços do Fundo Municipal de Saúde do município de Lagarto, durante o exercício de 2014.";"";"";"Concluído";"";"";""
"09/07/2013";"PML";"038/2013";"Dispensa";"CONTRATO DE LOCAÇÃO DE UM IMÓVEL, LOCALIZADO NO POVOADO AÇU VELHO, S/N, ZONA RURAL, LAGARTO/SE.";"";"";"Concluído";"";"";""
"30/12/2013";"PML";"038/2013";"Pregão Presencial";"Contratação de pessoa jurídica para fornecimento, de forma parcelada, de combustíveis para abastecimento dos veículos e máquinas desta Prefeitura, conforme Anexo I - Termo de Referência, parte integrante do Edital.";"";"";"Concluído";"";"";""
"17/07/2013";"FMS";"038/2013";"Dispensa";"LOCAÇÃO DE IMÓVEL, SITUADO NA TV DA CAPELA, 280, POVOADO ITAPERINHA, ZONA RURAL, NESTE MUNICÍPIO, PARA O FUNCIONAMENTO DA UNIDADE DE SAÚDE DA FAMÍLIA, CONFORME LAUDO DE VISTORIA TÉCNICA	";"";"";"Concluído";"";"";""
"01/12/2014";"FMS";"037/2014";"Dispensa";"Contratação de empresa especializada na prestação de serviços de reforma e montagem de móveis pertencentes as Unidades de Saúde, vinculados ao do Fundo Municipal de Saúde.";"";"";"Concluído";"";"";""
"17/07/2013";"FMS";"037/2013";"Dispensa";"Contratação de empresa para prestação de serviços de locação de oxigênio medicinal, bem como do cilindro e de carga para atender os serviços do TFD vinculado ao Fundo Municipal de Saúde.";"";"";"Concluído";"";"";""
"16/12/2013";"PML";"037/2013";"Pregão Presencial";"Contratação de empresa especializada no fornecimento de alimentação diária (café, almoço, jantar e quentinha), salgados, bolos e refrigerantes para atender as Secretarias Municipais, durante o exercício em vigor, conforme Anexo I - Termo de Referência, parte integrante do Edital.
";"";"";"Concluído";"";"";""
"09/07/2013";"PML";"037/2013";"Dispensa";"LOCAÇÃO DE UM IMÓVEL, LOCALIZADO NO POVOADO PURURUCA, S/N, ZONA RURAL, LAGARTO/SE, ONDE FUNCIONARÁ O PROGRAMA MAIS EDUCAÇÃO.";"";"";"Concluído";"";"";""
"11/12/2013";"FMS";"037/2013";"Pregão Presencial";"Contratação de empresa especializada em fornecimento de alimentação preparada (quentinhas), almoço tipo self-service, e aquisição de lanches, refrigerantes, suco de fruta natural e água mineral (300 ml) para atender as necessidades desta Secretaria Municipal da Saúde, e demais unidades vinculadas, conforme especificações técnicas contidas no AnexoI – Termo de Referencia, durante o exercício de 2014.";"";"";"Concluído";"";"";""
"23/09/2014";"FMS";"036/2014";"Dispensa";"LOCAÇÃO DE UM IMÓVEL, SITUADO NA R. JULIO CEZAR EVANGELISTA, 111, CENTRO, NESTE MUNICÍPIO, PARA ABRIGAR MÉDICOS QUE ESTÃO INSERIDOS NO PROGRAMA FEDERAL MAIS MÉDICOS";"";"";"Concluído";"";"";""
"02/12/2014";"FMS";"036/2014";"Pregão Presencial";"Contratação de empresa especializada em fornecimento de alimentação preparada (quentinhas), almoço tipo self-service, e aquisição de lanches, refrigerantes, suco de fruta natural, bolos, salada de frutas e água mineral (300 ml) para atender as necessidades desta Secretaria Municipal da Saúde, e demais unidades vinculadas, conforme especificações técnicas contidas no Anexo I – Termo de Referencia, durante o exercício de 2015.";"";"";"Concluído";"";"";""
"01/07/2013";"PML";"036/2013";"Dispensa";"LOCAÇÃO DE UM IMÓVEL, LOCALIZADO NO ASSENTAMENTO CHE GUEVARA, Nº 244, ZONA RURAL, LAGARTO/SE, ONDE FUNCIONARÁ UM ANEXO DA ESCOLA MANOEL DE PAULA MENEZES DE LIMA.";"";"";"Concluído";"";"";""
"09/07/2013";"FMS";"036/2013";"Dispensa";"LOCAÇÃO DE IM IMÓVEL, SITUADO NA PISTA DO PAU GRANDE, POVOADO COLÔNIA TREZE, ZONA RURAL, NESTE MUNICÍPIO, PARA O FUNCIONAMENTO DA UNIDADE DE SAÚDE DA FAMÍLIA, CONFORME LAUDO DE VISTORIA TÉCNICA";"";"";"Concluído";"";"";""
"05/12/2013";"FMS";"036/2013";"Pregão Presencial";"Contratação de empresa para o fornecimento parcelado de água mineral e vasilhames, botijão de gás GLP 13 kg e botijão sem gás, destinados aos programas e demais serviços do Fundo Municipal de Saúde no Município, conforme especificações constantes no Anexo II, durante o exercício de 2014.";"";"";"Concluído";"";"";""
"10/12/2013";"PML";"036/2013";"Pregão Presencial";"Fornecimento parcelado de água mineral, vasilhames e botijão de gás GLP 13 kg.";"";"";"Concluído";"";"";""
"02/12/2014";"FMS";"035/2014";"Pregão Presencial";"Contratação de empresa para o fornecimento parcelado de materiais de consumo médico-hospitalar destinados aos programas e demais serviços do Fundo Municipal de Saúde do município de Lagarto, durante o exercício de 2015";"";"";"Concluído";"";"";""
"15/09/2014";"FMS";"035/2014";"Dispensa";"LOCAÇÃO DE UM IMÓVEL, SITUADO NO POV. ASSÚ VELHO, NESTE MUNICÍPIO, ONDE FUNCIONARÁ UM PONTO DE APOIO DA UNIDADE BÁSICA DE SAÚDE, CONFORME LAUDO DE VISTORIA TÉCNICA.";"";"";"Concluído";"";"";""
"29/11/2013";"FMS";"035/2013";"Pregão Presencial";"Contratação de empresa para o fornecimento de gêneros alimentícios destinados aos programas e demais serviços do Fundo Municipal de Saúde no Município, conforme especificações constantes no Anexo II, durante o exercício de 2014.";"";"";"Concluído";"";"";""
"11/06/2013";"PML";"035/2013";"Dispensa";"LOCAÇÃO DE UM IMÓVEL, LOCALIZADO NA AV. FRANCISCO ANTÔNIO DE FIGUEIREDO, Nº 800, BAIRRO SÃO JOSÉ, NESTA CIDADE, ONDE FUNCIONARÁ O PROGRAMA MAIS EDUCAÇÃO DA ESCOLA MUNICIPAL SUÉCIA. Moises dos Santos";"";"";"Concluído";"";"";""
"01/07/2013";"FMS";"035/2013";"Dispensa";"LOCAÇÃO DE UM IMÓVEL, SITUADO NA AVENIDA CONTORNO II, Nº 1212, CENTRO, NESTE MUNICÍPIO, PARA O FUNCIONAMENTO DO CTA CENTRO DE TESTAGEM E ACONSELHAMENTO, CONFORME LAUDO DE VISTORIA TÉCNICA	";"";"";"Concluído";"";"";""
"06/12/2013";"PML";"035/2013";"Pregão Presencial";"Contratação de empresa especializada para fornecimento de combustível tipo Óleo Diesel S10, para a frota de veículos da Secretaria Municipal de Educação e Secretaria Municipal de Obras e Desenvolvimento Urbano, conforme Anexo I – Termo de Referência, parte integrante do Edital.";"";"";"Concluído";"";"";""
"22/12/2015";"FMS";"034/2015";"Registro de Preço";"Registro de Preços para futuro fornecimento parcelado de produtos de limpeza e higienização aos serviços do Fundo Municipal de Saúde, conforme Anexo I - Termo de Referência, parte integrante do Edital";"";"";"Concluído";"";"";""
"01/09/2014";"FMS";"034/2014";"Dispensa";"LOCAÇÃO DE UM IMÓVEL, SITUADO NA EST. EDMUNDO, Nº 297, POV. RIO FUNDO, NESTE MUNICÍPIO, ONDE FUNCIONARÁ UM PONTO DE APOIO DA UNIDADE BÁSICA DE SAÚDE, CONFORME LAUDO DE VISTORIA TÉCNICA";"";"";"Concluído";"";"";""
"12/12/2014";"PML";"034/2014";"Pregão Presencial";"Registro de Preços para fornecimento futuro, de forma parcelada, de combustíveis para abastecimento dos veículos e máquinas desta Prefeitura, com reserva de cota de até 25% para microempresa e empresa de pequeno porte.";"";"";"Concluído";"";"";""
"26/11/2014";"FMS";"034/2014";"Pregão Presencial";"Contratação de empresa para o fornecimento parcelado de medicamentos, listados na revista do ABC FARMA e Manipulados, com pronta entrega para o exercício de 2015, conforme especificações contidas no ANEXO I – TERMO DE REFERENCIA.";"";"";"Concluído";"";"";""
"11/06/2013";"PML";"034/2013";"Dispensa";"LOCAÇÃO DE UM IMÓVEL, LOCALIZADO POVOADO QUILOMBO, S/Nº, ZONA RURAL, MUNICÍPIO DE LAGARTO/SE, ONDE FUNCIONARÁ O PROGRAMA MAIS EDUCAÇÃO.";"";"";"Concluído";"";"";""
"29/11/2013";"FMS";"034/2013";"Pregão Presencial";"Contratação de empresa para o fornecimento de combustíveis automotivos -gasolina comum, óleo diesel e lubrificantes destinados aos veículos do Fundo Municipal de Saúde, durante o exercício de 2014, conforme especificações constante no Termo de Referência e no Anexo II.";"";"";"Concluído";"";"";""
"27/11/2013";"PML";"034/2013";"Pregão Presencial";"Fornecimento de peças e manutenção de poços artesianos deste município, conforme Termos de Referências – Anexos I e II do Edital.";"";"";"Concluído";"";"";""
"21/06/2013";"FMS";"034/2013";"Dispensa";"LOCAÇÃO DE UM IMÓVEL, SITUADO NA AVENIDA SANTO ANTÔNIO, Nº 283, CENTRO, NESTE MUNICÍPIO, PARA O FUNCIONAMENTO DO CAPS ACONCHEGO, CONFORME LAUDO DE VISTORIA TÉCNICA	";"";"";"Concluído";"";"";""
"17/12/2015";"FMS";"033/2015";"Registro de Preço";"Registro de Preços para futuro fornecimento parcelado de produtos médico-hospitalares destinados aos programas e demais serviços do Fundo Municipal de Saúde, conforme Anexo I - Termo de Referência, parte integrante do Edital";"";"";"Concluído";"";"";""
"26/11/2014";"FMS";"033/2014";"Pregão Presencial";"Contratação de empresa para o fornecimento parcelado de medicamentos para atender a farmácia básica, e demais programas e serviços deste Fundo Municipal de saúde, durante o exercício de 2015, conforme especificações contidas no ANEXO I – TERMO DE REFERENCIA.";"";"";"Concluído";"";"";""
"15/08/2014";"FMS";"033/2014";"Dispensa";"LOCAÇÃO DE UM IMÓVEL, SITUADO NA AV. CONTORNO, S/Nº, CENTRO, NESTE MUNICÍPIO, PARA O FUNCIONAMENTO DO CEO, VIGILÂNCIA SANITÁRIA E OUVIDORIA, CONFORME LAUDO DE VISTORIA TÉCNICA";"";"";"Concluído";"";"";""
"19/11/2013";"PML";"033/2013";"Pregão Presencial";"Contratação de empresa especializada para realização de serviços de pesquisa e desenvolvimento de projetos com o objetivo de promover  avaliação econômico-financeira de serviços bancários de folha de pagamento dos servidores ativos, inativos e pensionistas da Administração Direta, bem como, quando houver, com anuência da Administração Autárquica e Fundacional do Poder Executivo, conforme detalhamentos do Termo de Referência – Anexo I do Edital.";"";"";"Concluído";"";"";""
"06/06/2013";"PML";"033/2013";"Dispensa";"LOCAÇÃO DE UM IMÓVEL, LOCALIZADO NA PRAÇA FILOMENO HORA, Nº 130, CENTRO, LAGARTO/SE, ONDE SERÁ INSTALADA A BIBLIOTECA MUNICIPAL.";"";"";"Concluído";"";"";""
"18/06/2013";"FMS";"033/2013";"Dispensa";"LOCAÇÃO DE UM IMÓVEL, SITUADO À PRAÇA ANTÔNIO DA SILVA VIEIRA, Nº 108, CENTRO, NESTE MUNICIPIO, PARA O FUNCIONAMENTO DA RESIDENCIA TERAPEUTICA, CONFORME LAUDO DE VISTORIA TÉCNICA";"";"";"Concluído";"";"";""
"27/11/2013";"FMS";"033/2013";"Pregão Presencial";"Contratação de empresa para o fornecimento de materiais permanentes e materiais de consumo para equipar as casas onde ficarão abrigados os Médicos, inseridos no Programa Mais Médicos, conforme Portarias nºs 32 de 1º de novembro de 2013 e a de nº 1369 de 08 de julho de 2013, no exercício em vigor.";"";"";"Concluído";"";"";""
"17/12/2015";"FMS";"032/2015";"Registro de Preço";"Registro de Preços para futuro fornecimento parcelado de medicamentos, para atender a farmácia básica e demais programas do Fundo Municipal de Saúde, bem como protetor solar destinados aos Agentes,  conforme Anexo I - Termo de Referência, parte integrante do Edital";"";"";"Concluído";"";"";""
"02/07/2014";"FMS";"032/2014";"Dispensa";"Contratação de empresa especializada em serviços de recarga de extintores, bem como aquisição, com o objetivo de atender o  Fundo Municipal de Saúde e suas  unidades de saúde vinculadas.";"";"";"Concluído";"";"";""
"19/11/2014";"FMS";"032/2014";"Pregão Presencial";"Contratação de empresa especializada para a prestação de serviço de locação de cilindro com abastecimento de gases medicinais envasados, bem como, locação de equipamento para oxigenoterapia e concentrador de oxigênio para atender as necessidades desta secretaria no exercício de 2015, conforme especificações técnicas constantes do Anexo I deste Edital";"";"";"Concluído";"";"";""
"20/11/2013";"FMS";"032/2013";"Pregão Presencial";"Contratação de empresa especializada para a prestação de serviços com link de internet via rede wireless ou cabeada utilizando protocolo TCP/IP para atender as necessidades da Secretaria Municipal de Saúde, conforme detalhamentos do Termo de Referência - Anexo I do Edital.";"";"";"Concluído";"";"";""
"13/06/2013";"FMS";"032/2013";"Dispensa";"Prestação de serviços de lavagem geral de veículos grande e tipo passeio deste fundo municipal de saúde.";"";"";"Concluído";"";"";""
"07/10/2013";"PML";"032/2013";"Pregão Presencial";"Contratação centralizada de Instituição Financeira para prestação de serviços bancários à Administração Direta e Indireta do Poder Executivo do Município de Lagarto, o pagamento da folha de salários dos servidores ativos, inativos e pensionistas da Administração Direta, bem como, quando houver, com anuência da Administração Autárquica e Fundacional do Poder Executivo, das Empresas Públicas, Sociedades de Economia Mista e das empresas dependentes; os serviços de pagamento aos beneficiários de eventuais Programas Sociais e Auxílios do Município; a concessão de empréstimos aos servidores municipais, mediante consignação em folha de pagamento, sem exclusividade, ou outras modalidades de crédito e serviços bancários diversos tais como: cartões de crédito, pagamentos de contas, seguros, títulos de capitalização, investimentos, desde que respeitada a margem permitida ao endividamento mensal do mesmo conforme condições e especificações estabelecidas no edital e seus anexos.";"";"";"Concluído";"";"";""
"06/06/2013";"PML";"032/2013";"Dispensa";"LOCAÇÃO DE UM IMÓVEL, LOCALIZADO NA PRAÇA DA PIEDADE, Nº 69, CENTRO, LAGARTO/SE, ONDE SERÁ INSTALADA A SEDE DA SECRETARIA MUNICIPAL DE INDÚSTRIA, COMÉRCIO E TURISMO.";"";"";"Concluído";"";"";""
"17/12/2015";"FMS";"031/2015";"Registro de Preço";"Registro de Preços para futuro fornecimento parcelado de materiais instrumentais e equipamentos odontológicos, para atender as necessidades do Fundo Municipal de Saúde, conforme Anexo I - Termo de Referência, parte integrante do Edital";"";"";"Concluído";"";"";""
"01/10/2014";"PML";"031/2014";"Pregão Presencial";"Registrar preços para futura contratação de empresa especializada no fornecimento de material de informática do tipo permanente e de consumo.";"";"";"Concluído";"";"";""
"16/06/2014";"FMS";"031/2014";"Dispensa";"Prestação de serviços de lavagem geral de veículos grande e tipo passeio deste fundo municipal de saúde.";"";"";"Concluído";"";"";""
"19/11/2014";"FMS";"031/2014";"Pregão Presencial";"Contratação de empresa para o fornecimento de materiais de limpeza e higiene destinados aos programas e demais serviços do Fundo Municipal de Saúde do Município, durante o presente exercício, conforme especificações constantes no Termo de referência e no Anexo I, durante o exercício de 2015.";"";"";"Concluído";"";"";""
"29/05/2013";"PML";"031/2013";"Dispensa";"LOCAÇÃO DE IMÓVEL LOCALIZADO NA RUA MANOEL DE PAULA MENEZES LIMA, Nº 416, CENTRO, PARA ATENDER OS ALUNOS DA CRECHE SANTA TEREZINHA.";"";"";"Concluído";"";"";""
"06/06/2013";"FMS";"031/2013";"Dispensa";"LOCAÇÃO DE UM IMÓVEL, SITUADO NO POVOADO FAZENDA GRANDE, S/N, ZONA RURAL, NESTE MUNICÍPIO, PARA O FUNCIONAMENTO DA UNIDADE DE SAÚDE DA FAMÍLIA, CONFORME LAUDO DE VISTORIA TÉCNICA";"";"";"Concluído";"";"";""
"20/11/2013";"FMS";"031/2013";"Pregão Presencial";"Contratação de empresa visando à locação de Veículos tipo Ônibus e tipo Van destinado ao Transporte de Servidores e pacientes em tratamentos, conforme especificações técnicas constantes no Anexo I deste Edital.";"";"";"Concluído";"";"";""
"20/09/2013";"PML";"031/2013";"Pregão Presencial";"Contratação de empresa para aquisição parcelada de mobiliário e equipamentos eletroeletrônicos, visando atender as necessidades da rede municipal de ensino do município de Lagarto, conforme Termo de Compromisso nº 8955/2013, firmado entre a Prefeitura Municipal de Lagarto e o Fundo Nacional de Desenvolvimento da Educação – FNDE, constantes detalhamentos do Termo de Referência - Anexo I do Edital.";"";"";"Concluído";"";"";""
"25/11/2015";"FMS";"030/2015";"Pregão Presencial";"Contratação de empresa especializada em fornecimento de alimentação preparada (quentinhas), almoço tipo self-service, refrigerantes e água mineral (300 ml) para atender as necessidades desta Secretaria Municipal da Saúde, e demais unidades vinculadas, conforme especificações técnicas contidas no Anexo I – Termo de Referencia, durante o exercício de 2016.";"";"";"Concluído";"";"";""
"22/10/2014";"PML";"030/2014";"Pregão Presencial";"Contratação de seguro para os veículos tipo ônibus e micro-ônibus escolares que compõem a frota desta Prefeitura. ";"";"";"Concluído";"";"";""
"22/05/2014";"FMS";"030/2014";"Dispensa";"CONTRATAÇÃO DE EMPRESAS PARA O FORNECIMENTO DE MEDICAMENTOS PARA A FARMÁCIA BÁSICA, TENDO EM VISTA ITENS FRACASSADOS DO PREGÃO 07 E 15/2014";"";"";"Concluído";"";"";""
"19/11/2014";"FMS";"030/2014";"Pregão Presencial";"Contratação de empresa para o fornecimento de gêneros alimentícios destinados aos programas e demais serviços do Fundo Municipal de Saúde no Município, conforme especificações constantes no Anexo II, durante o exercício de 2015.";"";"";"Concluído";"";"";""
"18/09/2013";"PML";"030/2013";"Pregão Presencial";"Contratação de empresa especializada para a prestação de serviços com link de internet via rede wireless ou cabeada utilizando protocolo TCP/IP para atender as necessidades das Secretarias Municipais deste município, conforme detalhamentos do Termo de Referência - Anexo I do Edital.";"";"";"Concluído";"";"";""
"05/06/2013";"FMS";"030/2013";"Dispensa";"LOCAÇÃO DE UM IMÓVEL, SITUADO NO POVOADO AÇUZINHO, S/N, ZONA RURAL, NESTE MUNICIPIO, PARA O FUNCIONAMENTO DA UNIDADE DE SAÚDE DA FAMÍLIA, CONFORME LAUDO DE VISTORIA TÉCNICA";"";"";"Concluído";"";"";""
"11/11/2013";"FMS";"030/2013";"Pregão Presencial";"Contratação de empresa para o fornecimento de audiômetro destinado as atividades e projetos na área de Saúde do Trabalhador desenvolvido pelo Cerest, programa pertencente ao Fundo Municipal de Saúde do município de Lagarto.";"";"";"Concluído";"";"";""
"09/12/2013";"FMAS";"030/2013";"Dispensa";"LOCAÇÃO DE UM IMÓVEL, LOCALIZADO NO RUA OTÍILIA MARIA DA SILVA, Nº S/N, NESTE MUNICÍPIO, DE PROPRIEDADE DO SR. JOSEVAL SANTOS SANTANA, CUJA FINALIDADE É ATENDER A NECESSIDADE DA SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL E DO TRABALHO, PARA ALUGUEL SOCIAL.";"";"";"Concluído";"";"";""
"23/05/2013";"PML";"030/2013";"Dispensa";"LOCAÇÃO DE UM IMÓVEL LOCALIZADO NA ESTRADA PRINCIPAL DO POVOADO BREJO, ONDE FUNCIONARÁ UM POSTO DOS CORREIOS.";"";"";"Concluído";"";"";""
"24/11/2015";"FMS";"029/2015";"Pregão Presencial";"Contratação de empresa para o fornecimento de combustíveis automotivos -gasolina comum, óleo diesel BS 500 E S10 e lubrificantes destinados aos veículos do Fundo Municipal de Saúde, durante o exercício de 2016, conforme especificações constante no Termo de Referência e no Anexo II";"";"";"Concluído";"";"";""
"03/04/2014";"FMS";"029/2014";"Dispensa";"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM AQUISIÇÃO DE LEITES, DESTINADOS AO ATENDIMENTO DE CRIANÇAS NECESSITAM DE LEITE ESPECIAL PARA DIETA OU SUPORTE NUTRICIONAL";"";"";"Concluído";"";"";""
